Size(Bytes), Avg Cycles, Avg Instret, Cycles/Byte
128, 67291, 44595, 525.710
256, 129966, 87397, 507.679
384, 194910, 131088, 507.578
512, 259790, 174757, 507.402
640, 324667, 218426, 507.292
768, 389552, 262094, 507.229
896, 454441, 305765, 507.188
1024, 519353, 349445, 507.180
1152, 584080, 392996, 507.014
1280, 648692, 436470, 506.791
1408, 713377, 479993, 506.660
1536, 778059, 523515, 506.549
1664, 842702, 567009, 506.431
1792, 907552, 610643, 506.446
1920, 972024, 654023, 506.262
2048, 1036877, 697659, 506.288
2176, 1101449, 741107, 506.181
2304, 1166195, 784670, 506.161
2432, 1230898, 828206, 506.126
2560, 1295652, 871775, 506.114
2688, 1360063, 915114, 505.976
2816, 1424712, 958613, 505.935
2944, 1489431, 1002158, 505.921
3072, 1554044, 1045634, 505.874
3200, 1618876, 1089255, 505.899
3328, 1683344, 1132632, 505.812
3456, 1748013, 1176145, 505.791
3584, 1812745, 1219700, 505.788
3712, 1877590, 1263330, 505.816
3840, 1942401, 1306938, 505.834
3968, 2006832, 1350291, 505.754
4096, 2071627, 1393887, 505.768
4224, 2136106, 1437272, 505.707
4352, 2200663, 1480709, 505.667
4480, 2266102, 1524739, 505.826
4608, 2330143, 1567829, 505.673
4736, 2394803, 1611336, 505.659
4864, 2459321, 1654746, 505.617
4992, 2523992, 1698259, 505.607
5120, 2588918, 1741945, 505.648
5248, 2653454, 1785368, 505.612
5376, 2718782, 1829324, 505.726
5504, 2783400, 1872802, 505.705
5632, 2847391, 1915858, 505.574
5760, 2911984, 1959319, 505.553
5888, 2977006, 2003069, 505.606
6016, 3041611, 2046538, 505.587
6144, 3106046, 2089893, 505.541
6272, 3171073, 2133646, 505.592
6400, 3235484, 2176985, 505.544
6528, 3300356, 2220634, 505.569
6656, 3364991, 2264123, 505.558
6784, 3429747, 2307694, 505.564
6912, 3494046, 2350958, 505.504
7040, 3558676, 2394443, 505.494
7168, 3623408, 2437998, 505.498
7296, 3688053, 2481494, 505.490
7424, 3752667, 2524970, 505.478
7552, 3817724, 2568744, 505.525
7680, 3882073, 2612040, 505.478
7808, 3947020, 2655740, 505.510
7936, 4011293, 2698985, 505.455
8064, 4077074, 2743246, 505.590
8192, 4140978, 2786244, 505.490
8320, 4205867, 2829904, 505.513
8448, 4271230, 2873883, 505.591
8576, 4334868, 2916702, 505.465
8704, 4400204, 2960663, 505.538
8832, 4464226, 3003740, 505.460
8960, 4529208, 3047463, 505.492
9088, 4593494, 3090718, 505.446
9216, 4658287, 3134313, 505.456
9344, 4723085, 3177912, 505.467
9472, 4788700, 3222061, 505.564
9600, 4853000, 3265325, 505.521
9728, 4916883, 3308309, 505.436
9856, 4981486, 3351777, 505.427
9984, 5047205, 3395995, 505.529
10112, 5110714, 3438728, 505.411
10240, 5175718, 3482465, 505.441
10368, 5240340, 3525946, 505.434
10496, 5304881, 3569372, 505.419
10624, 5369998, 3613186, 505.459
10752, 5434685, 3656710, 505.458
10880, 5499014, 3699994, 505.424
11008, 5564398, 3743987, 505.487
11136, 5627992, 3786776, 505.387
11264, 5692853, 3830417, 505.402
11392, 5757288, 3873772, 505.380
11520, 5822391, 3917577, 505.416
11648, 5886603, 3960782, 505.375
11776, 5951358, 4004352, 505.380
11904, 6016063, 4047888, 505.382
12032, 6080763, 4091421, 505.383
12160, 6145638, 4135072, 505.398
12288, 6210180, 4178500, 505.386
12416, 6274988, 4222105, 505.395
12544, 6339770, 4265694, 505.403
12672, 6405564, 4309963, 505.490
12800, 6468732, 4352465, 505.370
12928, 6534077, 4396433, 505.421
13056, 6599726, 4440604, 505.494
13184, 6662628, 4482928, 505.357
13312, 6727818, 4526791, 505.395
13440, 6792273, 4570159, 505.377
13568, 6856742, 4613537, 505.361
13696, 6921415, 4657052, 505.360
13824, 6986902, 4701114, 505.418
13952, 7050858, 4744147, 505.365
14080, 7115375, 4787557, 505.353
14208, 7180194, 4831171, 505.363
14336, 7248429, 4877082, 505.610
14464, 7310912, 4919124, 505.456
14592, 7374018, 4961584, 505.347
14720, 7439376, 5005560, 505.392
14848, 7503466, 5048683, 505.352
14976, 7568696, 5092573, 505.388
15104, 7634138, 5136605, 505.438
15232, 7697439, 5179197, 505.347
15360, 7762202, 5222772, 505.352
15488, 7831478, 5269385, 505.648
15616, 7891575, 5309821, 505.352
15744, 7956168, 5353282, 505.346
15872, 8021321, 5397120, 505.376
16000, 8087117, 5441391, 505.445
16128, 8149936, 5483658, 505.328
16256, 8215254, 5527607, 505.367
16384, 8279336, 5570724, 505.331
16512, 8343995, 5614230, 505.329
16640, 8410046, 5658672, 505.411
16768, 8473250, 5701199, 505.323
16896, 8537952, 5744734, 505.324
17024, 8603409, 5788776, 505.369
17152, 8667577, 5831951, 505.339
17280, 8732372, 5875548, 505.346
