size_kb,decompress_time_sec
10.000,0.337
20.000,0.340
30.000,0.349
40.000,0.353
50.000,0.356
60.000,0.359
70.000,0.361
80.000,0.363
90.000,0.365
100.000,0.369
110.000,0.372
120.000,0.376
130.000,0.379
140.000,0.383
150.000,0.388
160.000,0.396
170.000,0.400
180.000,0.404
190.000,0.408
200.000,0.413
210.000,0.416
220.000,0.424
230.000,0.437
240.000,0.444
250.000,0.449
260.000,0.456
270.000,0.463
280.000,0.458
290.000,0.466
300.000,0.469
310.000,0.469
320.000,0.468
330.000,0.472
340.000,0.471
350.000,0.473
360.000,0.475
370.000,0.478
380.000,0.480
390.000,0.488
400.000,0.493
410.000,0.500
420.000,0.508
430.000,0.509
440.000,0.512
450.000,0.516
460.000,0.519
470.000,0.518
480.000,0.524
490.000,0.517
500.000,0.521
510.000,0.524
520.000,0.520
530.000,0.528
540.000,0.524
550.000,0.531
560.000,0.532
570.000,0.541
580.000,0.545
590.000,0.554
600.000,0.548
610.000,0.553
620.000,0.555
630.000,0.560
640.000,0.557
650.000,0.558
660.000,0.557
670.000,0.548
680.000,0.551
690.000,0.550
700.000,0.552
710.000,0.551
720.000,0.553
730.000,0.549
740.000,0.558
750.000,0.559
760.000,0.554
770.000,0.567
780.000,0.563
790.000,0.570
800.000,0.569
810.000,0.572
820.000,0.572
830.000,0.575
840.000,0.575
850.000,0.594
860.000,0.602
870.000,0.605
880.000,0.605
890.000,0.609
900.000,0.611
910.000,0.607
920.000,0.616
930.000,0.620
940.000,0.626
950.000,0.628
960.000,0.635
970.000,0.638
980.000,0.640
990.000,0.649
1000.000,0.661
1010.000,0.667
1020.000,0.657
1030.000,0.665
1040.000,0.662
1050.000,0.665
1060.000,0.666
1070.000,0.669
1080.000,0.671
1090.000,0.678
1100.000,0.672
1110.000,0.675
1120.000,0.677
1130.000,0.680
1140.000,0.678
1150.000,0.681
1160.000,0.687
1170.000,0.686
1180.000,0.684
1190.000,0.687
1200.000,0.687
1210.000,0.690
1220.000,0.691
1230.000,0.700
1240.000,0.691
1250.000,0.679
1260.000,0.685
1270.000,0.698
1280.000,0.701
1290.000,0.714
1300.000,0.720
1310.000,0.725
1320.000,0.727
1330.000,0.728
1340.000,0.726
1350.000,0.725
1360.000,0.722
1370.000,0.723
1380.000,0.726
1390.000,0.729
1400.000,0.735
1410.000,0.737
1420.000,0.743
1430.000,0.752
1440.000,0.752
1450.000,0.757
1460.000,0.754
1470.000,0.755
1480.000,0.754
1490.000,0.761
1500.000,0.768
1510.000,0.769
1520.000,0.766
1530.000,0.769
1540.000,0.760
1550.000,0.758
1560.000,0.766
1570.000,0.765
1580.000,0.776
1590.000,0.783
1600.000,0.788
1610.000,0.797
1620.000,0.797
1630.000,0.802
1640.000,0.807
1650.000,0.807
1660.000,0.808
1670.000,0.811
1680.000,0.810
1690.000,0.814
1700.000,0.816
1710.000,0.817
1720.000,0.819
1730.000,0.821
1740.000,0.824
1750.000,0.827
1760.000,0.829
1770.000,0.829
1780.000,0.841
1790.000,0.845
1800.000,0.860
1810.000,0.860
1820.000,0.869
1830.000,0.872
1840.000,0.872
1850.000,0.874
1860.000,0.871
1870.000,0.883
1880.000,0.883
1890.000,0.888
1900.000,0.892
1910.000,0.901
1920.000,0.906
1930.000,0.912
1940.000,0.926
1950.000,0.931
1960.000,0.936
1970.000,0.942
1980.000,0.940
1990.000,0.943
2000.000,0.947
2010.000,0.948
2020.000,0.952
2030.000,0.944
2040.000,0.952
2050.000,0.942
2060.000,0.946
2070.000,0.945
2080.000,0.936
2090.000,0.937
2100.000,0.939
2110.000,0.939
2120.000,0.949
2130.000,0.957
2140.000,0.957
2150.000,0.959
2160.000,0.960
2170.000,0.962
2180.000,0.974
2190.000,0.974
2200.000,0.976
2210.000,0.981
2220.000,0.990
2230.000,1.011
2240.000,1.006
2250.000,1.010
2260.000,1.024
2270.000,1.029
2280.000,1.032
2290.000,1.033
2300.000,1.034
2310.000,1.035
2320.000,1.036
2330.000,1.049
2340.000,1.049
2350.000,1.058
2360.000,1.070
2370.000,1.062
2380.000,1.055
2390.000,1.056
2400.000,1.070
2410.000,1.066
2420.000,1.066
2430.000,1.057
2440.000,1.064
2450.000,1.067
2460.000,1.069
2470.000,1.059
2480.000,1.061
2490.000,1.074
2500.000,1.089
2510.000,1.091
2520.000,1.097
2530.000,1.111
2540.000,1.110
2550.000,1.122
2560.000,1.125
2570.000,1.140
2580.000,1.135
2590.000,1.140
2600.000,1.136
2610.000,1.138
2620.000,1.135
2630.000,1.136
2640.000,1.140
2650.000,1.132
2660.000,1.139
2670.000,1.140
2680.000,1.141
2690.000,1.130
2700.000,1.143
2710.000,1.146
2720.000,1.166
2730.000,1.155
2740.000,1.148
2750.000,1.136
2760.000,1.127
2770.000,1.122
2780.000,1.113
2790.000,1.117
2800.000,1.111
2810.000,1.127
2820.000,1.117
2830.000,1.114
2840.000,1.115
2850.000,1.119
2860.000,1.112
2870.000,1.112
2880.000,1.118
2890.000,1.119
2900.000,1.130
2910.000,1.131
2920.000,1.135
2930.000,1.138
2940.000,1.139
2950.000,1.130
2960.000,1.130
2970.000,1.121
2980.000,1.122
2990.000,1.125
3000.000,1.124
3010.000,1.130
3020.000,1.132
3030.000,1.142
3040.000,1.141
3050.000,1.141
3060.000,1.132
3070.000,1.138
3080.000,1.159
3090.000,1.163
3100.000,1.164
3110.000,1.165
3120.000,1.170
3130.000,1.185
3140.000,1.189
3150.000,1.181
3160.000,1.184
3170.000,1.184
3180.000,1.187
3190.000,1.189
3200.000,1.191
3210.000,1.203
3220.000,1.202
3230.000,1.206
3240.000,1.208
3250.000,1.229
3260.000,1.228
3270.000,1.229
3280.000,1.227
3290.000,1.246
3300.000,1.276
3310.000,1.299
3320.000,1.309
3330.000,1.307
3340.000,1.308
3350.000,1.309
3360.000,1.324
3370.000,1.350
3380.000,1.338
3390.000,1.353
3400.000,1.365
3410.000,1.365
3420.000,1.367
3430.000,1.366
3440.000,1.370
3450.000,1.373
3460.000,1.377
3470.000,1.376
3480.000,1.374
3490.000,1.376
3500.000,1.364
3510.000,1.368
3520.000,1.372
3530.000,1.364
3540.000,1.350
3550.000,1.330
3560.000,1.317
3570.000,1.326
3580.000,1.318
3590.000,1.335
3600.000,1.338
3610.000,1.330
3620.000,1.310
3630.000,1.312
3640.000,1.303
3650.000,1.296
3660.000,1.298
3670.000,1.315
3680.000,1.321
3690.000,1.340
3700.000,1.342
3710.000,1.335
