size_kb,decompress_time_sec
10.000,0.461
20.000,0.555
30.000,0.519
40.000,0.497
50.000,0.428
60.000,0.427
70.000,0.414
80.000,0.544
90.000,0.504
100.000,0.523
110.000,0.418
120.000,0.573
130.000,0.554
140.000,0.460
150.000,0.456
160.000,0.457
170.000,0.478
180.000,0.515
190.000,0.503
200.000,0.485
210.000,0.535
220.000,0.462
230.000,0.490
240.000,0.502
250.000,0.518
260.000,0.571
270.000,0.481
280.000,0.530
290.000,0.545
300.000,0.460
310.000,0.552
320.000,0.481
330.000,0.466
340.000,0.609
350.000,0.614
360.000,0.591
370.000,0.511
380.000,0.480
390.000,0.573
400.000,0.535
410.000,0.484
420.000,0.548
430.000,0.477
440.000,0.622
450.000,0.521
460.000,0.590
470.000,0.538
480.000,0.573
490.000,0.584
500.000,0.527
510.000,0.659
520.000,0.630
530.000,0.658
540.000,0.655
550.000,0.611
560.000,0.665
570.000,0.538
580.000,0.561
590.000,0.540
600.000,0.588
610.000,0.602
620.000,0.586
630.000,0.676
640.000,0.604
650.000,0.594
660.000,0.638
670.000,0.577
680.000,0.686
690.000,0.574
700.000,0.722
710.000,0.694
720.000,0.609
730.000,0.580
740.000,0.711
750.000,0.695
760.000,0.700
770.000,0.708
780.000,0.597
790.000,0.644
800.000,0.608
810.000,0.733
820.000,0.696
830.000,0.655
840.000,0.617
850.000,0.660
860.000,0.664
870.000,0.734
880.000,0.721
890.000,0.762
900.000,0.697
910.000,0.643
920.000,0.739
930.000,0.749
940.000,0.719
950.000,0.755
960.000,0.713
970.000,0.719
980.000,0.707
990.000,0.648
1000.000,0.664
1010.000,0.655
1020.000,0.758
1030.000,0.707
1040.000,0.740
1050.000,0.807
1060.000,0.704
1070.000,0.733
1080.000,0.790
1090.000,0.710
1100.000,0.688
1110.000,0.724
1120.000,0.706
1130.000,0.834
1140.000,0.817
1150.000,0.792
1160.000,0.832
1170.000,0.823
1180.000,0.726
1190.000,0.842
1200.000,0.791
1210.000,0.838
1220.000,0.856
1230.000,0.766
1240.000,0.737
1250.000,0.759
1260.000,0.793
1270.000,0.857
1280.000,0.867
1290.000,0.734
1300.000,0.817
1310.000,0.808
1320.000,0.779
1330.000,0.768
1340.000,0.807
1350.000,0.908
1360.000,0.811
1370.000,0.845
1380.000,0.873
1390.000,0.819
1400.000,0.919
1410.000,0.920
1420.000,0.808
1430.000,0.849
1440.000,0.822
1450.000,0.822
1460.000,0.786
1470.000,0.881
1480.000,0.867
1490.000,0.796
1500.000,0.839
1510.000,0.942
1520.000,0.839
1530.000,0.823
1540.000,0.882
1550.000,0.969
1560.000,0.853
1570.000,0.926
1580.000,0.944
1590.000,0.867
1600.000,0.949
1610.000,0.894
1620.000,0.939
1630.000,0.943
1640.000,0.928
1650.000,0.861
1660.000,0.986
1670.000,0.908
1680.000,0.889
1690.000,0.870
1700.000,0.961
1710.000,0.980
1720.000,0.877
1730.000,0.960
1740.000,0.916
1750.000,0.986
1760.000,0.914
1770.000,1.000
1780.000,0.956
1790.000,1.045
1800.000,0.917
1810.000,0.952
1820.000,0.916
1830.000,1.047
1840.000,1.048
1850.000,0.955
1860.000,1.022
1870.000,1.051
1880.000,1.013
1890.000,1.012
1900.000,0.973
1910.000,0.955
1920.000,1.087
1930.000,1.090
1940.000,1.054
1950.000,1.015
1960.000,1.017
1970.000,1.082
1980.000,1.116
1990.000,1.119
2000.000,1.105
2010.000,1.087
2020.000,0.999
2030.000,1.014
2040.000,1.133
2050.000,1.092
2060.000,0.998
2070.000,1.019
2080.000,1.115
2090.000,1.013
2100.000,1.042
2110.000,1.102
2120.000,1.132
2130.000,1.127
2140.000,1.058
2150.000,1.140
2160.000,1.070
2170.000,1.087
2180.000,1.157
2190.000,1.145
2200.000,1.184
2210.000,1.159
2220.000,1.153
2230.000,1.084
2240.000,1.135
2250.000,1.126
2260.000,1.125
2270.000,1.246
2280.000,1.156
2290.000,1.242
2300.000,1.204
2310.000,1.229
2320.000,1.185
2330.000,1.199
2340.000,1.188
2350.000,1.141
2360.000,1.224
2370.000,1.157
2380.000,1.120
2390.000,1.220
2400.000,1.145
2410.000,1.270
2420.000,1.278
2430.000,1.274
2440.000,1.193
2450.000,1.138
2460.000,1.285
2470.000,1.205
2480.000,1.293
2490.000,1.296
2500.000,1.280
2510.000,1.195
2520.000,1.211
2530.000,1.292
2540.000,1.209
2550.000,1.187
2560.000,1.251
2570.000,1.313
2580.000,1.278
2590.000,1.259
2600.000,1.187
2610.000,1.272
2620.000,1.339
2630.000,1.205
2640.000,1.269
2650.000,1.324
2660.000,1.302
2670.000,1.298
2680.000,1.300
2690.000,1.248
2700.000,1.239
2710.000,1.320
2720.000,1.319
2730.000,1.331
2740.000,1.341
2750.000,1.279
2760.000,1.274
2770.000,1.325
2780.000,1.303
2790.000,1.310
2800.000,1.333
2810.000,1.350
2820.000,1.264
2830.000,1.273
2840.000,1.230
2850.000,1.316
2860.000,1.228
2870.000,1.301
2880.000,1.314
2890.000,1.272
2900.000,1.322
2910.000,1.235
2920.000,1.240
2930.000,1.366
2940.000,1.296
2950.000,1.262
2960.000,1.327
2970.000,1.370
2980.000,1.284
2990.000,1.350
3000.000,1.270
3010.000,1.268
3020.000,1.353
3030.000,1.360
3040.000,1.377
3050.000,1.396
3060.000,1.433
3070.000,1.362
3080.000,1.336
3090.000,1.422
3100.000,1.337
3110.000,1.370
3120.000,1.318
3130.000,1.312
3140.000,1.460
3150.000,1.443
3160.000,1.424
3170.000,1.381
3180.000,1.349
3190.000,1.347
3200.000,1.364
3210.000,1.414
3220.000,1.444
3230.000,1.434
3240.000,1.375
3250.000,1.479
3260.000,1.446
3270.000,1.421
3280.000,1.435
3290.000,1.413
3300.000,1.388
3310.000,1.412
3320.000,1.478
3330.000,1.364
3340.000,1.377
3350.000,1.370
3360.000,1.373
3370.000,1.507
3380.000,1.484
3390.000,1.454
3400.000,1.398
3410.000,1.470
3420.000,1.470
3430.000,1.421
3440.000,1.470
3450.000,1.467
3460.000,1.509
3470.000,1.514
3480.000,1.427
3490.000,1.483
3500.000,1.529
3510.000,1.513
3520.000,1.573
3530.000,1.544
3540.000,1.465
3550.000,1.454
3560.000,1.551
3570.000,1.456
3580.000,1.550
3590.000,1.609
3600.000,1.552
3610.000,1.519
3620.000,1.570
3630.000,1.547
3640.000,1.569
3650.000,1.640
3660.000,1.553
3670.000,1.648
3680.000,1.641
3690.000,1.529
3700.000,1.512
3710.000,1.519
3720.000,1.510
3730.000,1.533
3740.000,1.635
3750.000,1.545
3760.000,1.588
3770.000,1.675
